Start time (mjd), N detections, Duration
57504.0565,0,
57505.0100,0,
57506.0181,0,
57506.9871,0,
57507.9843,0,
57509.7766,0,
57510.9890,0,
57511.9746,0,
57512.9725,0,
57514.7883,0,
57515.8362,0,
57516.8335,0,
57521.7640,0,
57522.7649,0,
57523.7658,0,
57524.7550,0,
57528.7452,0,
57529.7440,0,
57530.7439,0,
57531.7441,0,
57535.7339,0,
57623.7454,1,
57632.6730,0,
57633.6800,2,
57638.4685,1,
57639.4684,0,
57641.4579,0,
57642.4581,0,
57643.4272,1,
57644.4332,0,
57645.4307,1,
57646.4280,1,
57647.4245,0,
57648.4161,1,
57649.4162,1,
57650.4058,0,
57651.4058,0,