Telescope,Start,Duration,Events
,(UTC),(s),
EFF,2017-09-05 0:55:54,36000,0
AO,2017-09-05 10:05:00,1009,0
EFF,2017-09-06 0:58,36000,7
EFF,2017-09-11 23:49:16,39600,0
AO,2017-09-12 9:49,6118,0
EFF,2017-09-12 22:53:54,8412,0
AO,2017-09-13 9:46,6166,0
EFF,2017-09-24 23:17:54,34854,0
GBT,2017-09-24 10:45,11700,0
EFF,2017-09-25 23:19,34992,0
GBT,2017-09-25 6:00:00,7200,0
GBT,2017-09-25 10:45,25200,0
EFF,2017-09-26 23:28:52,32400,0
GBT,2017-09-26 5:45,9900,0
EFF,2017-09-27 23:26,23580,0
GBT,2017-09-27 6:00,9000,0
GBT,2017-09-27 10:45:00,22500,0
GBT,2017-09-28 6:00:00,9000,0
EFF,2018-02-05 18:36:47,22962,0
EFF,2018-02-07 16:39:04,30018,0
EFF,2018-02-08 16:46:25,16044,0
EFF,2018-02-09 14:33:58,18000,0
EFF,2018-02-11 18:20:54,13704,0
EFF,2018-11-18 19:58:50,25200,24
EFF,2019-01-09 17:29:53,39600,0
EFF,2019-01-11 19:39:45,7590,0
EFF,2019-08-25 4:10:13,6876,2
EFF,2019-08-26 3:38:19,4975,0
EFF,2019-09-09 4:59:27,3600,3
EFF,2019-12-22 1:42:15,5400,0
EFF,2020-03-01 17:28:46,7200,0
EFF,2020-05-22 6:37:34,7200,0
EFF,2020-05-22 13:03:29,7200,0