TOA,Flux density,Pulse width,Fluence
(BMJD),(Jy),(ms),(Jy ms)
57769.6881141561(4),0.7(1),3.56(9),2.6(4)
57769.702301263(2),0.17(3),3.4(4),0.6(1)
57769.7639680761(3),0.8(1),2.05(6),1.7(3)
57772.6649755688(7),0.36(5),2.1(1),0.7(1)
57772.688014045(3),0.11(2),3.2(7),0.35(9)
57772.758495566(1),0.25(4),5.1(3),1.3(2)
57772.762396326(1),0.22(3),1.8(2),0.40(7)
57772.784720292(1),0.21(3),1.9(3),0.40(9)
57778.6885027615(7),0.39(6),2.6(1),1.0(2)
57778.756270766(2),0.11(2),2.1(4),0.23(6)
57778.756271161(2),0.18(3),2.9(3),0.5(1)
57778.799193770(1),0.21(3),1.8(2),0.38(7)
57803.692917989(2),0.21(3),3.5(3),0.7(1)